Name,MCI_HB,MCI_SB
Ephemeroptera Leptophlebiidae Acanthophlebia,7,9.6
Ephemeroptera Leptophlebiidae Ameletopsis,10,10
Ephemeroptera Leptophlebiidae Arachnocolus,8,8.1
Ephemeroptera Leptophlebiidae Atalophlebioides,9,4.4
Ephemeroptera Leptophlebiidae Austroclima,9,6.5
Ephemeroptera Leptophlebiidae Austronella,7,4.7
Ephemeroptera Leptophlebiidae Coloburiscus,9,8.1
Ephemeroptera Leptophlebiidae Deleatidium,8,5.6
Ephemeroptera Leptophlebiidae Ichthybotus,8,9.2
Ephemeroptera Leptophlebiidae Isothraulus,8,7.1
Ephemeroptera Leptophlebiidae Mauiulus,5,4.1
Ephemeroptera Leptophlebiidae Neozephlebia,7,7.6
Ephemeroptera Leptophlebiidae Nesameletus,9,8.6
Ephemeroptera Leptophlebiidae Oniscigaster,10,5.1
Ephemeroptera Leptophlebiidae Rallidens,9,3.9
Ephemeroptera Leptophlebiidae Siphlaenigma,9,
Ephemeroptera Leptophlebiidae Tepakia,8,7.6
Ephemeroptera Leptophlebiidae Zephlebia,7,8.8
Plecoptera Gripopterygidae Acroperla,5,5.1
Plecoptera Austroperlidae Austroperla,9,8.4
Plecoptera Notonemouridae Cristaperla,8,
Plecoptera Notonemouridae Halticoperla,8,
Plecoptera Gripopterygidae Megaleptoperla,9,7.3
Plecoptera Gripopterygidae Nesoperla,5,5.7
Plecoptera Notonemouridae Spaniocerca,8,8.8
Plecoptera Notonemouridae Spaniocercoides,8,
Plecoptera Eustheniidae Stenoperla,10,9.1
Plecoptera Gripopterygidae Taraperla,7,8.3
Plecoptera Gripopterygidae Zelandobius,5,7.4
Plecoptera Gripopterygidae Zelandoperla,10,8.8
Trichoptera Hydropsychidae Aoteapsyche,4,6
Trichoptera  Helicophidae Alloecentrella,9,
Trichoptera Conoesucidae Beraeoptera,8,7
Trichoptera Conoesucidae Confluens,5,7.2
Trichoptera Hydrobiosidae Costachorema,7,7.2
Trichoptera Hydropsychidae Diplectrona,9,
Trichoptera  Ecnomidae Ecnomina,8,9.6
Trichoptera Hydrobiosidae Edpercivalia,9,6.3
Trichoptera Ecnomidae Ecnomina,8,9.6
Trichoptera Helicopsychidae Helicopsyche,10,8.6
Trichoptera Leptoceridae Hudsonema,6,6.5
Trichoptera Philopotamidae Hydrobiosella,9,7.6
Trichoptera Hydrobiosidae Hydrobiosis,5,6.7
Trichoptera Hydropsychidae ,,
Trichoptera Kokiriidae Kokiria,9,
Trichoptera Hydrobiosidae Neurochorema,6,6
Trichoptera Hydrobiosidae Hydrochorema,9,
Trichoptera Helicopsychidae Orthopsyche,9,7.5
Trichoptera Leptoceridae Oecetis,6,6.8
Trichoptera Conoesucidae Olinga,9,7.9
Trichoptera Hydroptilidae Oxyethira,2,1.2
Trichoptera Hydroptilidae Paroxyethira,2,3.7
Trichoptera Philorheithridae Philorheithrus,8,5.3
Trichoptera Polycentropodidae Plectrocnemia,8,6.6
Trichoptera Polycentropodidae Polyplectropus,8,8.1
Trichoptera Hydrobiosidae Psilochorema,8,7.8
Trichoptera Helicophidae Pycnocentrella,9,
Trichoptera Conoesucidae Pycnocentria,7,6.8
Trichoptera Conoesucidae Pycnocentrodes,5,3.8
Trichoptera Conoesucidae Periwinkla ,,
Trichoptera Helicopsychidae Rakiura,10,
Trichoptera Hydrobiosidae Tiphobiosis,6,9.3
Trichoptera Leptoceridae Triplectides,5,5.7
Trichoptera Leptoceridae Triplectidina,5,
